Language;Category;Level;Question;Option1;Option2;Option3;Option4;CorrectAnswer;Difficulty
Python;Methods;Intermediate; Hogyan adsz át változó számú paramétereket egy metódusnak Pythonban?; def my_method(*args):; def my_method(args*); def my_method(*args); def my_method(args); def my_method(*args):;1
Python;Methods;Intermediate; Mi a következõ  kód kimenete? def divide(a, b): return a / b print(divide(10, 2)); 5.0;5;2; Error; 5.0;1
Python;Methods;Intermediate; Mi a következõ  kód kimenete? def add(a, b): return a + b print(add(3, 4));7;34; Error; None;7;1
Python;DataStructures;Intermediate; Hogyan hozol létre egy szótárat Pythonban?; my_dict = {}; my_dict = []; my_dict = (); my_dict = set(); my_dict = {};1
Python;DataStructures;Intermediate; Mi a helyes szintaxis egy szótár elem eléréséhez Pythonban?; my_dict[key]; my_dict(key); my_dict.key; my_dict{key}; my_dict[key];1
Python;DataStructures;Intermediate; Mi a következõ  kód kimenete? my_list = [1, 2, 3] print(my_list[1]);2;1;3;Error;2;1
Python;DataStructures;Intermediate; Mi a következõ  kód kimenete? my_list = [1, 2, 3] my_list.remove(2) print(my_list);[1, 3];[1, 2, 3];[2, 3];[1, 2];[1, 3];1
Sql;Type;Intermediate;Mi a különbség a CHAR és a VARCHAR adattípusok között?;A CHAR fix hosszúságú, a VARCHAR változó hosszúságú;A VARCHAR fix hosszúságú, a CHAR változó hosszúságú;Mindkettõ fix hosszúságú;Mindkettõ változó hosszúságú;A CHAR fix hosszúságú, a VARCHAR változó hosszúságú;3
Sql;Type;Intermediate;Melyik adattípus használható dátumok tárolására?;DATE;INT;VARCHAR;TEXT;DATE;3
Sql;Type;Intermediate;Mit tárol a BOOLEAN adattípus?;Igaz/hamis értékeket;Egész számokat;Dátumokat;Szövegeket;Igaz/hamis értékeket;3
Sql;Query;Intermediate;Mit csinál a WHERE klauzula SQL-ben?;Szûri a sorokat a megadott feltétel alapján;Összegzi az adatokat;Csoportosítja az adatokat;Rendezést végez;Szûri a sorokat a megadott feltétel alapján;3
Sql;Query;Intermediate;Mi a különbség az INNER JOIN és a LEFT JOIN között?;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;Nincs különbség;A LEFT JOIN csak a közös sorokat adja vissza;Az INNER JOIN az összes sort visszaadja;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;3
Sql;Query;Intermediate;Hogyan írnál egy SQL lekérdezést, amely az 'employees' tábla összes sorát megjeleníti?;"SELECT * FROM employees;";"SHOW * FROM employees;";"DISPLAY employees;";"SELECT ALL FROM employees;";"SELECT * FROM employees;";4
Sql;Query;Intermediate;Mire használható a SELECT utasítás?;Adatok lekérdezésére a táblákból;Új tábla létrehozására;Táblák törlésére;Egyik sem;Adatok lekérdezésére a táblákból;4
Sql;Query;Intermediate;Mi a különbség az INNER JOIN és a LEFT JOIN között?;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;Nincs különbség;A LEFT JOIN csak a közös sorokat adja vissza;Az INNER JOIN az összes sort visszaadja;Az INNER JOIN csak a közös sorokat adja vissza, a LEFT JOIN az összes bal oldali sort;4
Sql;DDL;Intermediate;Mire használható a CREATE utasítás?;Új tábla létrehozására;Adatok frissítésére;Adatok törlésére;Táblák rendezésére;Új tábla létrehozására;4
Sql;DDL;Intermediate;Hogyan törölsz egy táblát SQL-ben?;"DROP TABLE tábla_neve;";"DELETE TABLE tábla_neve;";"REMOVE TABLE tábla_neve;";"CLEAR TABLE tábla_neve;";"DROP TABLE tábla_neve;";4
Sql;DDL;Intermediate;Mit jelent a CONSTRAINT SQL-ben?;Egy feltétel a tábla oszlopaihoz;Egy oszlop neve;Egy tábla neve;Egyik sem;Egy feltétel a tábla oszlopaihoz;4
Sql;DDL;Intermediate;Mire használható a CREATE utasítás?;Új tábla létrehozására;Adatok frissítésére;Adatok törlésére;Táblák rendezésére;Új tábla létrehozására;4
Sql;DDL;Intermediate;Mit jelent a CASCADE kulcsszó a DROP utasításban?;Kapcsolt objektumok automatikus törlését;Csak az aktuális tábla törlését;Egy tábla átnevezését;Egyik sem;Kapcsolt objektumok automatikus törlését;4
Sql;DDL;Intermediate;Hogyan nevezel át egy táblát SQL-ben?;"ALTER TABLE tábla_neve RENAME TO új_név;";"CHANGE TABLE tábla_neve TO új_név;";"RENAME TABLE új_név;";"UPDATE TABLE tábla_neve;";"ALTER TABLE tábla_neve RENAME TO új_név;";4
Sql;DDL;Intermediate;Mit jelent az ALTER utasítás?;Egy meglévõ tábla módosítása;Egy tábla törlése;Egy új adatbázis létrehozása;Adatok beszúrása;Egy meglévõ tábla módosítása;4
Sql;DML;Intermediate;Hogyan adsz hozzá új adatokat egy táblához SQL-ben?;"INSERT INTO tábla_neve;";"ADD ROW tábla_neve;";"UPDATE tábla_neve;";"CREATE ROW tábla_neve;";"INSERT INTO tábla_neve;";4
Sql;DML;Intermediate;Mit jelent az UPDATE utasítás?;Adatok frissítése egy táblában;Adatok törlése;Új oszlopok hozzáadása;Táblák törlése;Adatok frissítése egy táblában;4
Sql;DML;Intermediate;Mit jelent az UPSERT SQL-ben?;Adatok beszúrása vagy frissítése;Adatok törlése;Adatok másolása;Adatok átmásolása másik táblába;Adatok beszúrása vagy frissítése;4
Sql;DML;Intermediate;Hogyan számolhatod meg a táblában lévõ sorokat?;"SELECT COUNT(*) FROM tábla_neve;";"COUNT ROWS tábla_neve;";"CALCULATE ROWS tábla_neve;";"SUM ROWS tábla_neve;";"SELECT COUNT(*) FROM tábla_neve;";4
Sql;DML;Intermediate;Hogyan törölsz adatokat SQL-ben?;"DELETE FROM tábla_neve;";"REMOVE ROW tábla_neve;";"CLEAR ROWS tábla_neve;";"TRUNCATE tábla_neve;";"DELETE FROM tábla_neve;";4
Sql;DML;Intermediate;Mit jelent az UPDATE utasítás?;Adatok frissítése egy táblában;Adatok törlése;Új oszlopok hozzáadása;Táblák törlése;Adatok frissítése egy táblában;4
Sql;Indexes;Intermediate;Hogyan törölhetsz egy indexet SQL-ben?;"DROP INDEX index_név;";"DELETE INDEX index_név;";"REMOVE INDEX index_név;";"TRUNCATE INDEX index_név;";"DROP INDEX index_név;";4
Sql;Indexes;Intermediate;Mire használható a CLUSTERED INDEX SQL-ben?;Az adatok fizikailag rendezésére;Csak az adatok keresésére;Egy tábla másolatának készítésére;Egyik sem;Az adatok fizikailag rendezésére;4
